time,x,y,z,roll,pitch,yaw
77,3.838,-0.3688201904296875,-0.2635345458984375,-1.8380889892578125,-0.02532426454126835,-0.24918133020401,0.21621538698673248
78,3.888,-0.3853759765625,-0.090972900390625,-1.4833984375,1.225447416305542,-0.7488438487052917,-0.30268025398254395
79,3.937,-0.156829833984375,-0.0837554931640625,-0.48260498046875,0.17378830909729004,0.2899910807609558,-0.3706856667995453
80,3.987,-0.10296630859375,0.143280029296875,-1.0265655517578125,0.5644037127494812,0.2838261127471924,-0.023624369874596596
81,4.037,-0.12530517578125,0.09832763671875,-0.7821502685546875,0.228391632437706,0.4445745348930359,-0.26593342423439026
82,4.087,-0.2212371826171875,0.1219329833984375,-0.9279937744140625,-0.4334832727909088,0.8789933323860168,-0.40409979224205017
83,4.137,-0.0831298828125,0.02703857421875,-1.1869354248046875,-0.12833534181118011,0.39902034401893616,-0.39450788497924805
84,4.187,-0.0248260498046875,0.0009765625,-0.972259521484375,-0.4388543367385864,0.4379033148288727,-0.12061882764101028
85,4.236,-0.0832366943359375,0.0062713623046875,-1.16326904296875,0.03743499144911766,-0.006191849708557129,-0.2085132598876953
86,4.286,-0.0128326416015625,0.043304443359375,-1.0052337646484375,-0.0046416232362389565,0.03769278526306152,0.0032951291650533676
87,4.336,-0.0304718017578125,0.06005859375,-1.0417938232421875,-0.03359604254364967,0.10340388864278793,-0.027533622458577156
88,4.386,-0.018768310546875,0.068634033203125,-0.9770660400390625,0.037517283111810684,-0.08827313780784607,-0.06603414565324783
89,4.436,-0.030120849609375,0.0645904541015625,-0.9814910888671875,-0.07786151021718979,0.2109423279762268,0.004838697146624327
90,4.486,-0.038055419921875,0.0414581298828125,-1.0263824462890625,-0.047449275851249695,0.0673271119594574,-0.007000651676207781
91,4.535,-0.009765625,0.029327392578125,-1.062042236328125,-0.047449275851249695,0.0673271119594574,-0.007000651676207781
92,4.585,-0.007598876953125,0.0590057373046875,-0.9861907958984375,-0.04247528687119484,0.0974128395318985,0.035297002643346786
93,4.635,-0.0003814697265625,0.0654296875,-0.953704833984375,0.15141801536083221,-0.03879399970173836,-0.019748937338590622
94,4.685,0.0042724609375,0.046783447265625,-0.979461669921875,-0.030169619247317314,0.06917960196733475,0.10514319688081741
95,4.735,-0.026275634765625,0.035430908203125,-0.9996337890625,-0.09968318045139313,0.09597952663898468,-0.026940004900097847
96,4.785,-0.0040435791015625,0.0304412841796875,-0.98583984375,-0.04754967615008354,-0.029815420508384705,0.014880944974720478
97,4.834,0.0003204345703125,0.0402374267578125,-1.0402069091796875,-0.04262202978134155,-0.02671017311513424,0.015080149285495281
98,4.884,-0.0152130126953125,0.060821533203125,-1.0330657958984375,0.08209913223981857,-0.01636512391269207,-0.05542757362127304
99,4.934,-0.0250091552734375,0.0454254150390625,-1.0420379638671875,0.10267524421215057,-0.08100563287734985,0.14367647469043732
